date,time,LOCATION,LONGDES,CURRENTPOINTVALUE
12/28/2018,0:00:58,37736,Woody 116 1st FL Lounge South Dr,510
12/29/2018,6:23:25,37736,Woody 116 1st FL Lounge South Dr,508
12/29/2018,12:23:16,37736,Woody 116 1st FL Lounge South Dr,509
12/29/2018,16:24:00,37736,Woody 116 1st FL Lounge South Dr,510
1/1/2019,0:02:47,37736,Woody 116 1st FL Lounge South Dr,509
1/2/2019,23:59:32,37736,Woody 116 1st FL Lounge South Dr,508
1/7/2019,2:42:14,37736,Woody 116 1st FL Lounge South Dr,507
1/8/2019,0:42:49,37736,Woody 116 1st FL Lounge South Dr,506
1/11/2019,14:42:09,37736,Woody 116 1st FL Lounge South Dr,505
1/13/2019,20:47:30,37736,Woody 116 1st FL Lounge South Dr,504
1/16/2019,23:00:40,37736,Woody 116 1st FL Lounge South Dr,503
1/16/2019,23:59:26,37736,Woody 116 1st FL Lounge South Dr,488
1/17/2019,0:50:05,37736,Woody 116 1st FL Lounge South Dr,487
1/17/2019,2:58:39,37736,Woody 116 1st FL Lounge South Dr,488
1/17/2019,4:59:33,37736,Woody 116 1st FL Lounge South Dr,487
1/17/2019,8:58:01,37736,Woody 116 1st FL Lounge South Dr,486
1/17/2019,14:53:33,37736,Woody 116 1st FL Lounge South Dr,487
1/18/2019,0:53:51,37736,Woody 116 1st FL Lounge South Dr,489
1/18/2019,10:58:34,37736,Woody 116 1st FL Lounge South Dr,490
1/19/2019,1:02:16,37736,Woody 116 1st FL Lounge South Dr,491
1/19/2019,16:55:52,37736,Woody 116 1st FL Lounge South Dr,489
1/19/2019,18:56:57,37736,Woody 116 1st FL Lounge South Dr,490
1/19/2019,20:53:59,37736,Woody 116 1st FL Lounge South Dr,489
1/19/2019,22:55:18,37736,Woody 116 1st FL Lounge South Dr,490
1/20/2019,0:01:14,37736,Woody 116 1st FL Lounge South Dr,491
1/20/2019,4:54:21,37736,Woody 116 1st FL Lounge South Dr,492
1/20/2019,13:01:26,37736,Woody 116 1st FL Lounge South Dr,491
1/20/2019,15:02:26,37736,Woody 116 1st FL Lounge South Dr,492
1/22/2019,0:02:10,37736,Woody 116 1st FL Lounge South Dr,493
1/23/2019,0:00:02,37736,Woody 116 1st FL Lounge South Dr,494
1/23/2019,19:01:35,37736,Woody 116 1st FL Lounge South Dr,495
1/25/2019,0:01:34,37736,Woody 116 1st FL Lounge South Dr,496
1/26/2019,3:05:09,37736,Woody 116 1st FL Lounge South Dr,495
1/26/2019,5:10:34,37736,Woody 116 1st FL Lounge South Dr,496
2/5/2019,1:25:20,37736,Woody 116 1st FL Lounge South Dr,495
2/6/2019,11:22:51,37736,Woody 116 1st FL Lounge South Dr,494
2/7/2019,13:24:22,37736,Woody 116 1st FL Lounge South Dr,493
2/8/2019,21:28:46,37736,Woody 116 1st FL Lounge South Dr,492
2/10/2019,0:00:31,37736,Woody 116 1st FL Lounge South Dr,476
2/11/2019,0:01:05,37736,Woody 116 1st FL Lounge South Dr,477
2/11/2019,3:32:01,37736,Woody 116 1st FL Lounge South Dr,478
2/12/2019,1:31:08,37736,Woody 116 1st FL Lounge South Dr,479
2/12/2019,5:29:09,37736,Woody 116 1st FL Lounge South Dr,480
2/13/2019,5:36:38,37736,Woody 116 1st FL Lounge South Dr,481
2/13/2019,17:31:57,37736,Woody 116 1st FL Lounge South Dr,480
2/13/2019,21:37:43,37736,Woody 116 1st FL Lounge South Dr,481
2/13/2019,22:04:48,37736,Woody 116 1st FL Lounge South Dr,478
2/14/2019,23:42:06,37736,Woody 116 1st FL Lounge South Dr,477
2/15/2019,0:01:34,37736,Woody 116 1st FL Lounge South Dr,464
2/16/2019,0:02:13,37736,Woody 116 1st FL Lounge South Dr,465
2/16/2019,1:36:00,37736,Woody 116 1st FL Lounge South Dr,466
2/16/2019,7:41:50,37736,Woody 116 1st FL Lounge South Dr,467
2/17/2019,0:02:16,37736,Woody 116 1st FL Lounge South Dr,469
2/17/2019,3:41:20,37736,Woody 116 1st FL Lounge South Dr,470
2/17/2019,7:42:54,37736,Woody 116 1st FL Lounge South Dr,471
2/19/2019,0:02:23,37736,Woody 116 1st FL Lounge South Dr,472
2/19/2019,1:47:46,37736,Woody 116 1st FL Lounge South Dr,473
2/19/2019,7:47:21,37736,Woody 116 1st FL Lounge South Dr,474
2/19/2019,22:01:11,37736,Woody 116 1st FL Lounge South Dr,472
2/20/2019,0:02:03,37736,Woody 116 1st FL Lounge South Dr,473
2/21/2019,1:54:26,37736,Woody 116 1st FL Lounge South Dr,474
2/22/2019,0:02:26,37736,Woody 116 1st FL Lounge South Dr,475
